,Training Loss,Validation Loss,Micro F1,Macro F1,Class F1,epochs_since_improvement,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,best_epoch/Training Loss,best_epoch/Validation Loss,best_epoch/Micro F1,best_epoch/Macro F1,best_epoch/Class F1,config/num_epochs,config/batch_size,config/train_path,config/val_path,config/transforms/mean,config/transforms/std,config/lr,config/weight_decay,config/amsgrad,config/optimizer,config/Model,config/parameters/num_layers,config/parameters/hidden_size,config/parameters/use_gru,config/device,config/seed
0,3.923391069911775,0.4359286054640614,0.8639914989471436,0.8173004388809204,"[0.9724174737930298, 0.896719753742218, 0.7717918157577515, 0.6944386959075928, 0.7511340379714966]",0,1743064300,checkpoint_000000,True,False,1,9b02e_00023,2025-03-27_09-31-40,319.258020401001,319.258020401001,3309052,birget.uib.no,129.177.13.75,319.258020401001,1,3.923391069911775,0.4359286054640614,0.8639914989471436,0.8173004388809204,"[0.9724174737930298, 0.896719753742218, 0.7717918157577515, 0.6944386959075928, 0.7511340379714966]",100,128,/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_train.pt,/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_validation.pt,tensor([0.7242]),tensor([0.5008]),0.0006284785576597409,0.007978566226484804,False,<class 'torch.optim.adamw.AdamW'>,<class 'models.ADTOF_FrameRNN'>,5,288,False,cuda:0,1742894919
1,3.0366124275752475,0.3974595890433778,0.8840826749801636,0.8462947010993958,"[0.9754469990730286, 0.920926570892334, 0.8340322375297546, 0.7232311367988586, 0.7778362035751343]",0,1743064584,checkpoint_000001,True,False,2,9b02e_00023,2025-03-27_09-36-24,284.1496014595032,603.4076218605042,3309052,birget.uib.no,129.177.13.75,603.4076218605042,2,3.0366124275752475,0.3974595890433778,0.8840826749801636,0.8462947010993958,"[0.9754469990730286, 0.920926570892334, 0.8340322375297546, 0.7232311367988586, 0.7778362035751343]",100,128,/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_train.pt,/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_validation.pt,tensor([0.7242]),tensor([0.5008]),0.0006284785576597409,0.007978566226484804,False,<class 'torch.optim.adamw.AdamW'>,<class 'models.ADTOF_FrameRNN'>,5,288,False,cuda:0,1742894919
2,2.846525099391029,0.40245871816962825,0.8876451253890991,0.8474095463752747,"[0.9763286113739014, 0.9193840622901917, 0.8180364966392517, 0.7287724614143372, 0.7945257425308228]",1,1743064867,checkpoint_000002,True,False,3,9b02e_00023,2025-03-27_09-41-07,282.99981594085693,886.4074378013611,3309052,birget.uib.no,129.177.13.75,886.4074378013611,3,2.846525099391029,0.40245871816962825,0.8876451253890991,0.8474095463752747,"[0.9763286113739014, 0.9193840622901917, 0.8180364966392517, 0.7287724614143372, 0.7945257425308228]",100,128,/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_train.pt,/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_validation.pt,tensor([0.7242]),tensor([0.5008]),0.0006284785576597409,0.007978566226484804,False,<class 'torch.optim.adamw.AdamW'>,<class 'models.ADTOF_FrameRNN'>,5,288,False,cuda:0,1742894919
3,2.7197323295048306,0.3932260042507743,0.8914613127708435,0.8540730476379395,"[0.978502631187439, 0.9273428320884705, 0.8267096281051636, 0.7455872297286987, 0.7922228574752808]",0,1743065150,checkpoint_000003,True,False,4,9b02e_00023,2025-03-27_09-45-50,282.9431936740875,1169.3506314754486,3309052,birget.uib.no,129.177.13.75,1169.3506314754486,4,2.7197323295048306,0.3932260042507743,0.8914613127708435,0.8540730476379395,"[0.978502631187439, 0.9273428320884705, 0.8267096281051636, 0.7455872297286987, 0.7922228574752808]",100,128,/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_train.pt,/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_validation.pt,tensor([0.7242]),tensor([0.5008]),0.0006284785576597409,0.007978566226484804,False,<class 'torch.optim.adamw.AdamW'>,<class 'models.ADTOF_FrameRNN'>,5,288,False,cuda:0,1742894919
4,2.619686073348636,0.3685662821263469,0.8914592862129211,0.85637366771698,"[0.9770979285240173, 0.9274876117706299, 0.836656391620636, 0.7490035891532898, 0.7916228771209717]",0,1743065434,,,False,5,9b02e_00023,2025-03-27_09-50-34,284.176913022995,1453.5275444984436,3309052,birget.uib.no,129.177.13.75,1453.5275444984436,5,2.7197323295048306,0.3932260042507743,0.8914613127708435,0.8540730476379395,"[0.978502631187439, 0.9273428320884705, 0.8267096281051636, 0.7455872297286987, 0.7922228574752808]",100,128,/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_train.pt,/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_validation.pt,tensor([0.7242]),tensor([0.5008]),0.0006284785576597409,0.007978566226484804,False,<class 'torch.optim.adamw.AdamW'>,<class 'models.ADTOF_FrameRNN'>,5,288,False,cuda:0,1742894919
5,2.544782056127276,0.37586852606172605,0.8930131196975708,0.8598400950431824,"[0.977601170539856, 0.9312196969985962, 0.844809889793396, 0.7445053458213806, 0.8010640740394592]",1,1743065717,checkpoint_000004,True,False,6,9b02e_00023,2025-03-27_09-55-17,282.5194866657257,1736.0470311641693,3309052,birget.uib.no,129.177.13.75,1736.0470311641693,6,2.544782056127276,0.37586852606172605,0.8930131196975708,0.8598400950431824,"[0.977601170539856, 0.9312196969985962, 0.844809889793396, 0.7445053458213806, 0.8010640740394592]",100,128,/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_train.pt,/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_validation.pt,tensor([0.7242]),tensor([0.5008]),0.0006284785576597409,0.007978566226484804,False,<class 'torch.optim.adamw.AdamW'>,<class 'models.ADTOF_FrameRNN'>,5,288,False,cuda:0,1742894919
6,2.4712078487305416,0.37928590441065213,0.8943725824356079,0.859327495098114,"[0.9772985577583313, 0.9246289134025574, 0.830695390701294, 0.7504580616950989, 0.8135564923286438]",2,1743066004,checkpoint_000005,True,False,7,9b02e_00023,2025-03-27_10-00-04,287.2844731807709,2023.3315043449402,3309052,birget.uib.no,129.177.13.75,2023.3315043449402,7,2.4712078487305416,0.37928590441065213,0.8943725824356079,0.859327495098114,"[0.9772985577583313, 0.9246289134025574, 0.830695390701294, 0.7504580616950989, 0.8135564923286438]",100,128,/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_train.pt,/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_validation.pt,tensor([0.7242]),tensor([0.5008]),0.0006284785576597409,0.007978566226484804,False,<class 'torch.optim.adamw.AdamW'>,<class 'models.ADTOF_FrameRNN'>,5,288,False,cuda:0,1742894919
7,2.4135456895828247,0.35849466210945063,0.897290825843811,0.8618595004081726,"[0.9782406687736511, 0.9324948191642761, 0.8270297050476074, 0.7579062581062317, 0.8136259913444519]",0,1743066289,checkpoint_000006,True,False,8,9b02e_00023,2025-03-27_10-04-50,285.2367694377899,2308.56827378273,3309052,birget.uib.no,129.177.13.75,2308.56827378273,8,2.4135456895828247,0.35849466210945063,0.897290825843811,0.8618595004081726,"[0.9782406687736511, 0.9324948191642761, 0.8270297050476074, 0.7579062581062317, 0.8136259913444519]",100,128,/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_train.pt,/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_validation.pt,tensor([0.7242]),tensor([0.5008]),0.0006284785576597409,0.007978566226484804,False,<class 'torch.optim.adamw.AdamW'>,<class 'models.ADTOF_FrameRNN'>,5,288,False,cuda:0,1742894919
8,2.364176835332598,0.3482956144515638,0.8989207148551941,0.8661590814590454,"[0.978949785232544, 0.9270604252815247, 0.8508340716362, 0.7552227973937988, 0.8187282085418701]",0,1743066572,checkpoint_000007,True,False,9,9b02e_00023,2025-03-27_10-09-32,281.91349244117737,2590.4817662239075,3309052,birget.uib.no,129.177.13.75,2590.4817662239075,9,2.364176835332598,0.3482956144515638,0.8989207148551941,0.8661590814590454,"[0.978949785232544, 0.9270604252815247, 0.8508340716362, 0.7552227973937988, 0.8187282085418701]",100,128,/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_train.pt,/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_validation.pt,tensor([0.7242]),tensor([0.5008]),0.0006284785576597409,0.007978566226484804,False,<class 'torch.optim.adamw.AdamW'>,<class 'models.ADTOF_FrameRNN'>,5,288,False,cuda:0,1742894919
9,2.3182595864931743,0.3458064682945806,0.9010879993438721,0.869870662689209,"[0.9786178469657898, 0.93110191822052, 0.8539263606071472, 0.7658659219741821, 0.8198409080505371]",0,1743066856,checkpoint_000008,True,False,10,9b02e_00023,2025-03-27_10-14-16,284.1384642124176,2874.620230436325,3309052,birget.uib.no,129.177.13.75,2874.620230436325,10,2.3182595864931743,0.3458064682945806,0.9010879993438721,0.869870662689209,"[0.9786178469657898, 0.93110191822052, 0.8539263606071472, 0.7658659219741821, 0.8198409080505371]",100,128,/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_train.pt,/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_validation.pt,tensor([0.7242]),tensor([0.5008]),0.0006284785576597409,0.007978566226484804,False,<class 'torch.optim.adamw.AdamW'>,<class 'models.ADTOF_FrameRNN'>,5,288,False,cuda:0,1742894919
