,Training Loss,Validation Loss,Micro F1,Macro F1,Class F1,epochs_since_improvement,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,best_epoch/Training Loss,best_epoch/Validation Loss,best_epoch/Micro F1,best_epoch/Macro F1,best_epoch/Class F1,config/num_epochs,config/batch_size,config/train_path,config/val_path,config/transforms/mean,config/transforms/std,config/lr,config/weight_decay,config/amsgrad,config/optimizer,config/Model,config/parameters/num_layers,config/parameters/hidden_size,config/device,config/seed
0,3.048651860846058,0.5199094644966668,0.8753656148910522,0.8709902763366699,"[0.8865931630134583, 0.9035118818283081, 0.8912923336029053, 0.8299465179443359, 0.843607485294342]",0,1744227021,checkpoint_000000,True,False,1,6f05da0f,2025-04-09_21-30-21,322.0919029712677,322.0919029712677,3090205,birget.uib.no,129.177.13.75,322.0919029712677,1,3.048651860846058,0.5199094644966668,0.8753656148910522,0.8709902763366699,"[0.8865931630134583, 0.9035118818283081, 0.8912923336029053, 0.8299465179443359, 0.843607485294342]",100,128,/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_train.pt,/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_validation.pt,tensor([0.0720]),tensor([0.1545]),0.001128336563395534,0.0097914061368838,True,<class 'torch.optim.adamw.AdamW'>,<class 'models.CNN'>,2,288,cuda:0,1744184978
1,2.785393035966953,0.5173309536251295,0.884839653968811,0.8824385404586792,"[0.9125662446022034, 0.9083657264709473, 0.8950439691543579, 0.8305233716964722, 0.8656933307647705]",0,1744227276,checkpoint_000001,True,False,2,6f05da0f,2025-04-09_21-34-36,255.49684476852417,577.5887477397919,3090205,birget.uib.no,129.177.13.75,577.5887477397919,2,2.785393035966953,0.5173309536251295,0.884839653968811,0.8824385404586792,"[0.9125662446022034, 0.9083657264709473, 0.8950439691543579, 0.8305233716964722, 0.8656933307647705]",100,128,/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_train.pt,/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_validation.pt,tensor([0.0720]),tensor([0.1545]),0.001128336563395534,0.0097914061368838,True,<class 'torch.optim.adamw.AdamW'>,<class 'models.CNN'>,2,288,cuda:0,1744184978
2,2.7222021827569796,0.5221619129334926,0.8810176253318787,0.8776189684867859,"[0.9040331840515137, 0.909683346748352, 0.901161253452301, 0.8257753849029541, 0.8474413752555847]",1,1744227534,,,False,3,6f05da0f,2025-04-09_21-38-54,257.76342010498047,835.3521678447723,3090205,birget.uib.no,129.177.13.75,835.3521678447723,3,2.785393035966953,0.5173309536251295,0.884839653968811,0.8824385404586792,"[0.9125662446022034, 0.9083657264709473, 0.8950439691543579, 0.8305233716964722, 0.8656933307647705]",100,128,/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_train.pt,/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_validation.pt,tensor([0.0720]),tensor([0.1545]),0.001128336563395534,0.0097914061368838,True,<class 'torch.optim.adamw.AdamW'>,<class 'models.CNN'>,2,288,cuda:0,1744184978
3,2.687082780282518,0.497487824785617,0.8919140100479126,0.8877944946289062,"[0.9116408228874207, 0.9098716974258423, 0.8913209438323975, 0.8564897179603577, 0.8696491718292236]",0,1744227786,checkpoint_000002,True,False,4,6f05da0f,2025-04-09_21-43-06,252.03081941604614,1087.3829872608185,3090205,birget.uib.no,129.177.13.75,1087.3829872608185,4,2.687082780282518,0.497487824785617,0.8919140100479126,0.8877944946289062,"[0.9116408228874207, 0.9098716974258423, 0.8913209438323975, 0.8564897179603577, 0.8696491718292236]",100,128,/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_train.pt,/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_validation.pt,tensor([0.0720]),tensor([0.1545]),0.001128336563395534,0.0097914061368838,True,<class 'torch.optim.adamw.AdamW'>,<class 'models.CNN'>,2,288,cuda:0,1744184978
4,2.665213849757164,0.5526150806929714,0.8741979598999023,0.8760277628898621,"[0.913459062576294, 0.9053183197975159, 0.9013696908950806, 0.7924638986587524, 0.8675282597541809]",1,1744228047,,,False,5,6f05da0f,2025-04-09_21-47-27,260.280638217926,1347.6636254787445,3090205,birget.uib.no,129.177.13.75,1347.6636254787445,5,2.687082780282518,0.497487824785617,0.8919140100479126,0.8877944946289062,"[0.9116408228874207, 0.9098716974258423, 0.8913209438323975, 0.8564897179603577, 0.8696491718292236]",100,128,/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_train.pt,/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_validation.pt,tensor([0.0720]),tensor([0.1545]),0.001128336563395534,0.0097914061368838,True,<class 'torch.optim.adamw.AdamW'>,<class 'models.CNN'>,2,288,cuda:0,1744184978
5,2.6485781048636974,0.4838566210996889,0.8899574279785156,0.8860241770744324,"[0.9035807847976685, 0.910155713558197, 0.9001080989837646, 0.8551884889602661, 0.8610878586769104]",0,1744228299,,,False,6,6f05da0f,2025-04-09_21-51-39,252.6170780658722,1600.2807035446167,3090205,birget.uib.no,129.177.13.75,1600.2807035446167,6,2.687082780282518,0.497487824785617,0.8919140100479126,0.8877944946289062,"[0.9116408228874207, 0.9098716974258423, 0.8913209438323975, 0.8564897179603577, 0.8696491718292236]",100,128,/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_train.pt,/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_validation.pt,tensor([0.0720]),tensor([0.1545]),0.001128336563395534,0.0097914061368838,True,<class 'torch.optim.adamw.AdamW'>,<class 'models.CNN'>,2,288,cuda:0,1744184978
6,2.6355093444720348,0.48801320906757384,0.8924345374107361,0.8887899518013,"[0.9038922190666199, 0.9146808981895447, 0.9031251072883606, 0.8553842306137085, 0.8668674826622009]",1,1744228552,checkpoint_000003,True,False,7,6f05da0f,2025-04-09_21-55-52,252.95486450195312,1853.2355680465698,3090205,birget.uib.no,129.177.13.75,1853.2355680465698,7,2.6355093444720348,0.48801320906757384,0.8924345374107361,0.8887899518013,"[0.9038922190666199, 0.9146808981895447, 0.9031251072883606, 0.8553842306137085, 0.8668674826622009]",100,128,/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_train.pt,/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_validation.pt,tensor([0.0720]),tensor([0.1545]),0.001128336563395534,0.0097914061368838,True,<class 'torch.optim.adamw.AdamW'>,<class 'models.CNN'>,2,288,cuda:0,1744184978
7,2.6256440988938077,0.4785416944082393,0.8935469388961792,0.8898760080337524,"[0.9087599515914917, 0.9145500659942627, 0.8874944448471069, 0.8582360744476318, 0.8803392052650452]",0,1744228805,checkpoint_000004,True,False,8,6f05da0f,2025-04-09_22-00-05,252.69874262809753,2105.9343106746674,3090205,birget.uib.no,129.177.13.75,2105.9343106746674,8,2.6256440988938077,0.4785416944082393,0.8935469388961792,0.8898760080337524,"[0.9087599515914917, 0.9145500659942627, 0.8874944448471069, 0.8582360744476318, 0.8803392052650452]",100,128,/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_train.pt,/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_validation.pt,tensor([0.0720]),tensor([0.1545]),0.001128336563395534,0.0097914061368838,True,<class 'torch.optim.adamw.AdamW'>,<class 'models.CNN'>,2,288,cuda:0,1744184978
8,2.6172326562342536,0.47000776627883123,0.8980875611305237,0.8958878517150879,"[0.9153911471366882, 0.9158399105072021, 0.9084722399711609, 0.8591110706329346, 0.8806247115135193]",0,1744229056,checkpoint_000005,True,False,9,6f05da0f,2025-04-09_22-04-16,251.48318457603455,2357.417495250702,3090205,birget.uib.no,129.177.13.75,2357.417495250702,9,2.6172326562342536,0.47000776627883123,0.8980875611305237,0.8958878517150879,"[0.9153911471366882, 0.9158399105072021, 0.9084722399711609, 0.8591110706329346, 0.8806247115135193]",100,128,/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_train.pt,/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_validation.pt,tensor([0.0720]),tensor([0.1545]),0.001128336563395534,0.0097914061368838,True,<class 'torch.optim.adamw.AdamW'>,<class 'models.CNN'>,2,288,cuda:0,1744184978
9,2.6108588969133555,0.46087631021051134,0.8949238657951355,0.8920558094978333,"[0.905055820941925, 0.9136469960212708, 0.9019091725349426, 0.8623839616775513, 0.8772829174995422]",0,1744229308,,,False,10,6f05da0f,2025-04-09_22-08-28,251.79262399673462,2609.2101192474365,3090205,birget.uib.no,129.177.13.75,2609.2101192474365,10,2.6172326562342536,0.47000776627883123,0.8980875611305237,0.8958878517150879,"[0.9153911471366882, 0.9158399105072021, 0.9084722399711609, 0.8591110706329346, 0.8806247115135193]",100,128,/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_train.pt,/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_validation.pt,tensor([0.0720]),tensor([0.1545]),0.001128336563395534,0.0097914061368838,True,<class 'torch.optim.adamw.AdamW'>,<class 'models.CNN'>,2,288,cuda:0,1744184978
