,Training Loss,Validation Loss,Micro F1,Macro F1,Class F1,epochs_since_improvement,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,best_epoch/Training Loss,best_epoch/Validation Loss,best_epoch/Micro F1,best_epoch/Macro F1,best_epoch/Class F1,config/num_epochs,config/batch_size,config/train_path,config/val_path,config/transforms/mean,config/transforms/std,config/lr,config/weight_decay,config/optimizer,config/Model,config/parameters/num_layers,config/parameters/hidden_size,config/parameters/use_gru,config/device,config/seed
0,4.105325683639163,0.46029981379992113,0.8566211462020874,0.8060866594314575,"[0.9702662825584412, 0.8924678564071655, 0.7796993255615234, 0.6787270307540894, 0.7092725038528442]",0,1746431489,checkpoint_000000,True,False,1,ae2ea68e,2025-05-05_09-51-29,353.2765076160431,353.2765076160431,3151260,birget.uib.no,129.177.13.75,353.2765076160431,1,4.105325683639163,0.46029981379992113,0.8566211462020874,0.8060866594314575,"[0.9702662825584412, 0.8924678564071655, 0.7796993255615234, 0.6787270307540894, 0.7092725038528442]",100,128,/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_train.pt,/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_validation.pt,tensor([0.7242]),tensor([0.5008]),0.0013353433215896654,0.0032884681927608877,<class 'torch.optim.adamw.AdamW'>,<class 'models.ADTOF_FrameRNN'>,5,144,False,cuda:0,1746397718
1,3.1450845736549016,0.41736697612354934,0.8771207332611084,0.8345372080802917,"[0.9762741923332214, 0.9032142162322998, 0.810624897480011, 0.71739262342453, 0.7651804089546204]",0,1746431812,checkpoint_000001,True,False,2,ae2ea68e,2025-05-05_09-56-52,322.6140089035034,675.8905165195465,3151260,birget.uib.no,129.177.13.75,675.8905165195465,2,3.1450845736549016,0.41736697612354934,0.8771207332611084,0.8345372080802917,"[0.9762741923332214, 0.9032142162322998, 0.810624897480011, 0.71739262342453, 0.7651804089546204]",100,128,/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_train.pt,/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_validation.pt,tensor([0.7242]),tensor([0.5008]),0.0013353433215896654,0.0032884681927608877,<class 'torch.optim.adamw.AdamW'>,<class 'models.ADTOF_FrameRNN'>,5,144,False,cuda:0,1746397718
2,2.965441173825945,0.40565609918817025,0.8829036355018616,0.8414293527603149,"[0.9769124388694763, 0.923032283782959, 0.8166708946228027, 0.7338437438011169, 0.7566871047019958]",0,1746432135,checkpoint_000002,True,False,3,ae2ea68e,2025-05-05_10-02-15,323.3292965888977,999.2198131084442,3151260,birget.uib.no,129.177.13.75,999.2198131084442,3,2.965441173825945,0.40565609918817025,0.8829036355018616,0.8414293527603149,"[0.9769124388694763, 0.923032283782959, 0.8166708946228027, 0.7338437438011169, 0.7566871047019958]",100,128,/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_train.pt,/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_validation.pt,tensor([0.7242]),tensor([0.5008]),0.0013353433215896654,0.0032884681927608877,<class 'torch.optim.adamw.AdamW'>,<class 'models.ADTOF_FrameRNN'>,5,144,False,cuda:0,1746397718
3,2.8550932105382283,0.37349182236037065,0.8921129703521729,0.853554368019104,"[0.9780827164649963, 0.9277099967002869, 0.8306208252906799, 0.7362249493598938, 0.7951330542564392]",0,1746432459,checkpoint_000003,True,False,4,ae2ea68e,2025-05-05_10-07-39,323.63307881355286,1322.852891921997,3151260,birget.uib.no,129.177.13.75,1322.852891921997,4,2.8550932105382283,0.37349182236037065,0.8921129703521729,0.853554368019104,"[0.9780827164649963, 0.9277099967002869, 0.8306208252906799, 0.7362249493598938, 0.7951330542564392]",100,128,/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_train.pt,/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_validation.pt,tensor([0.7242]),tensor([0.5008]),0.0013353433215896654,0.0032884681927608877,<class 'torch.optim.adamw.AdamW'>,<class 'models.ADTOF_FrameRNN'>,5,144,False,cuda:0,1746397718
4,2.7677698728016447,0.3876874238121352,0.8906872868537903,0.8555915951728821,"[0.9777817130088806, 0.9271029233932495, 0.8431680798530579, 0.7429710626602173, 0.7869341969490051]",1,1746432783,,,False,5,ae2ea68e,2025-05-05_10-13-03,324.4087448120117,1647.2616367340088,3151260,birget.uib.no,129.177.13.75,1647.2616367340088,5,2.8550932105382283,0.37349182236037065,0.8921129703521729,0.853554368019104,"[0.9780827164649963, 0.9277099967002869, 0.8306208252906799, 0.7362249493598938, 0.7951330542564392]",100,128,/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_train.pt,/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_validation.pt,tensor([0.7242]),tensor([0.5008]),0.0013353433215896654,0.0032884681927608877,<class 'torch.optim.adamw.AdamW'>,<class 'models.ADTOF_FrameRNN'>,5,144,False,cuda:0,1746397718
5,2.705933744566781,0.3782056096104273,0.8969650268554688,0.8634219169616699,"[0.9787533283233643, 0.9293708801269531, 0.8475234508514404, 0.7571887373924255, 0.8042733073234558]",2,1746433107,checkpoint_000004,True,False,6,ae2ea68e,2025-05-05_10-18-27,323.6654636859894,1970.9271004199982,3151260,birget.uib.no,129.177.13.75,1970.9271004199982,6,2.705933744566781,0.3782056096104273,0.8969650268554688,0.8634219169616699,"[0.9787533283233643, 0.9293708801269531, 0.8475234508514404, 0.7571887373924255, 0.8042733073234558]",100,128,/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_train.pt,/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_validation.pt,tensor([0.7242]),tensor([0.5008]),0.0013353433215896654,0.0032884681927608877,<class 'torch.optim.adamw.AdamW'>,<class 'models.ADTOF_FrameRNN'>,5,144,False,cuda:0,1746397718
6,2.643942565917969,0.3781093116111167,0.8937798738479614,0.8567677736282349,"[0.9780040979385376, 0.9286194443702698, 0.8272075057029724, 0.751372754573822, 0.7986351251602173]",3,1746433430,,,False,7,ae2ea68e,2025-05-05_10-23-50,322.41404032707214,2293.3411407470703,3151260,birget.uib.no,129.177.13.75,2293.3411407470703,7,2.705933744566781,0.3782056096104273,0.8969650268554688,0.8634219169616699,"[0.9787533283233643, 0.9293708801269531, 0.8475234508514404, 0.7571887373924255, 0.8042733073234558]",100,128,/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_train.pt,/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_validation.pt,tensor([0.7242]),tensor([0.5008]),0.0013353433215896654,0.0032884681927608877,<class 'torch.optim.adamw.AdamW'>,<class 'models.ADTOF_FrameRNN'>,5,144,False,cuda:0,1746397718
7,2.6031297942570277,0.37139581294836976,0.8938966989517212,0.8578923344612122,"[0.9782259464263916, 0.9290069937705994, 0.8291479349136353, 0.7560805678367615, 0.7970002889633179]",0,1746433754,,,False,8,ae2ea68e,2025-05-05_10-29-14,324.54415345191956,2617.88529419899,3151260,birget.uib.no,129.177.13.75,2617.88529419899,8,2.705933744566781,0.3782056096104273,0.8969650268554688,0.8634219169616699,"[0.9787533283233643, 0.9293708801269531, 0.8475234508514404, 0.7571887373924255, 0.8042733073234558]",100,128,/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_train.pt,/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_validation.pt,tensor([0.7242]),tensor([0.5008]),0.0013353433215896654,0.0032884681927608877,<class 'torch.optim.adamw.AdamW'>,<class 'models.ADTOF_FrameRNN'>,5,144,False,cuda:0,1746397718
8,2.5612482906523204,0.37948404337866193,0.8944813013076782,0.8607175946235657,"[0.9786563515663147, 0.9233894348144531, 0.8403242826461792, 0.753132700920105, 0.8080852031707764]",1,1746434078,,,False,9,ae2ea68e,2025-05-05_10-34-38,323.78795886039734,2941.673253059387,3151260,birget.uib.no,129.177.13.75,2941.673253059387,9,2.705933744566781,0.3782056096104273,0.8969650268554688,0.8634219169616699,"[0.9787533283233643, 0.9293708801269531, 0.8475234508514404, 0.7571887373924255, 0.8042733073234558]",100,128,/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_train.pt,/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_validation.pt,tensor([0.7242]),tensor([0.5008]),0.0013353433215896654,0.0032884681927608877,<class 'torch.optim.adamw.AdamW'>,<class 'models.ADTOF_FrameRNN'>,5,144,False,cuda:0,1746397718
9,2.6536498142424083,0.3760579844140796,0.8971308469772339,0.8626056909561157,"[0.979526698589325, 0.9296355843544006, 0.8416110873222351, 0.7595359086990356, 0.8027188777923584]",2,1746434401,checkpoint_000005,True,False,10,ae2ea68e,2025-05-05_10-40-01,323.13190054893494,3264.805153608322,3151260,birget.uib.no,129.177.13.75,3264.805153608322,10,2.6536498142424083,0.3760579844140796,0.8971308469772339,0.8626056909561157,"[0.979526698589325, 0.9296355843544006, 0.8416110873222351, 0.7595359086990356, 0.8027188777923584]",100,128,/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_train.pt,/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_validation.pt,tensor([0.7242]),tensor([0.5008]),0.0013353433215896654,0.0032884681927608877,<class 'torch.optim.adamw.AdamW'>,<class 'models.ADTOF_FrameRNN'>,5,144,False,cuda:0,1746397718
