,Training Loss,Validation Loss,Micro F1,Macro F1,Class F1,epochs_since_improvement,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,best_epoch/Training Loss,best_epoch/Validation Loss,best_epoch/Micro F1,best_epoch/Macro F1,best_epoch/Class F1,config/num_epochs,config/batch_size,config/train_path,config/val_path,config/transforms/mean,config/transforms/std,config/lr,config/weight_decay,config/optimizer,config/Model,config/parameters/num_heads,config/parameters/num_layers,config/parameters/embed_dim,config/device,config/seed
0,3.864663978531247,0.5254867407718944,0.8481154441833496,0.7943142652511597,"[0.9714110493659973, 0.883418619632721, 0.7173736095428467, 0.685409665107727, 0.7139586806297302]",0,1746501438,checkpoint_000000,True,False,1,0bf40239,2025-05-06_05-17-19,1016.1213586330414,1016.1213586330414,3602471,birget.uib.no,129.177.13.75,1016.1213586330414,1,3.864663978531247,0.5254867407718944,0.8481154441833496,0.7943142652511597,"[0.9714110493659973, 0.883418619632721, 0.7173736095428467, 0.685409665107727, 0.7139586806297302]",100,128,/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_train.pt,/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_validation.pt,tensor([0.7242]),tensor([0.5008]),0.0006058440428069494,0.0037617476663643645,<class 'torch.optim.adamw.AdamW'>,<class 'models.ADTOF_FrameAttention'>,4,8,576,cuda:0,1746397704
1,3.1629601632981075,0.4379532913542004,0.8689004182815552,0.8239139318466187,"[0.9760493636131287, 0.9093436598777771, 0.7821772694587708, 0.7129341959953308, 0.7390652298927307]",0,1746502425,checkpoint_000001,True,False,2,0bf40239,2025-05-06_05-33-45,986.4720046520233,2002.5933632850647,3602471,birget.uib.no,129.177.13.75,2002.5933632850647,2,3.1629601632981075,0.4379532913542004,0.8689004182815552,0.8239139318466187,"[0.9760493636131287, 0.9093436598777771, 0.7821772694587708, 0.7129341959953308, 0.7390652298927307]",100,128,/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_train.pt,/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_validation.pt,tensor([0.7242]),tensor([0.5008]),0.0006058440428069494,0.0037617476663643645,<class 'torch.optim.adamw.AdamW'>,<class 'models.ADTOF_FrameAttention'>,4,8,576,cuda:0,1746397704
2,2.9761200139636084,0.42342859769182584,0.8761665225028992,0.834100067615509,"[0.9771512746810913, 0.9094613790512085, 0.8045316934585571, 0.7152661681175232, 0.7640896439552307]",0,1746503411,checkpoint_000002,True,False,3,0bf40239,2025-05-06_05-50-11,986.1833152770996,2988.7766785621643,3602471,birget.uib.no,129.177.13.75,2988.7766785621643,3,2.9761200139636084,0.42342859769182584,0.8761665225028992,0.834100067615509,"[0.9771512746810913, 0.9094613790512085, 0.8045316934585571, 0.7152661681175232, 0.7640896439552307]",100,128,/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_train.pt,/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_validation.pt,tensor([0.7242]),tensor([0.5008]),0.0006058440428069494,0.0037617476663643645,<class 'torch.optim.adamw.AdamW'>,<class 'models.ADTOF_FrameAttention'>,4,8,576,cuda:0,1746397704
3,2.8546412256785803,0.4238623291385331,0.8777401447296143,0.8373987078666687,"[0.9756176471710205, 0.9104753136634827, 0.7987366914749146, 0.7370988726615906, 0.7650653719902039]",1,1746504398,checkpoint_000003,True,False,4,0bf40239,2025-05-06_06-06-38,986.5152261257172,3975.2919046878815,3602471,birget.uib.no,129.177.13.75,3975.2919046878815,4,2.8546412256785803,0.4238623291385331,0.8777401447296143,0.8373987078666687,"[0.9756176471710205, 0.9104753136634827, 0.7987366914749146, 0.7370988726615906, 0.7650653719902039]",100,128,/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_train.pt,/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_validation.pt,tensor([0.7242]),tensor([0.5008]),0.0006058440428069494,0.0037617476663643645,<class 'torch.optim.adamw.AdamW'>,<class 'models.ADTOF_FrameAttention'>,4,8,576,cuda:0,1746397704
4,2.7598777162461055,0.39655909112896687,0.8864607810974121,0.8452965617179871,"[0.9784203171730042, 0.9223828911781311, 0.7984051704406738, 0.7393695712089539, 0.7879051566123962]",0,1746505381,checkpoint_000004,True,False,5,0bf40239,2025-05-06_06-23-02,983.5475482940674,4958.839452981949,3602471,birget.uib.no,129.177.13.75,4958.839452981949,5,2.7598777162461055,0.39655909112896687,0.8864607810974121,0.8452965617179871,"[0.9784203171730042, 0.9223828911781311, 0.7984051704406738, 0.7393695712089539, 0.7879051566123962]",100,128,/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_train.pt,/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_validation.pt,tensor([0.7242]),tensor([0.5008]),0.0006058440428069494,0.0037617476663643645,<class 'torch.optim.adamw.AdamW'>,<class 'models.ADTOF_FrameAttention'>,4,8,576,cuda:0,1746397704
5,2.6870088111786616,0.3865827900985264,0.8909769058227539,0.855006217956543,"[0.9795519113540649, 0.9302480220794678, 0.8420869708061218, 0.7403532266616821, 0.7827908992767334]",0,1746506366,checkpoint_000005,True,False,6,0bf40239,2025-05-06_06-39-26,984.2063896656036,5943.0458426475525,3602471,birget.uib.no,129.177.13.75,5943.0458426475525,6,2.6870088111786616,0.3865827900985264,0.8909769058227539,0.855006217956543,"[0.9795519113540649, 0.9302480220794678, 0.8420869708061218, 0.7403532266616821, 0.7827908992767334]",100,128,/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_train.pt,/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_validation.pt,tensor([0.7242]),tensor([0.5008]),0.0006058440428069494,0.0037617476663643645,<class 'torch.optim.adamw.AdamW'>,<class 'models.ADTOF_FrameAttention'>,4,8,576,cuda:0,1746397704
6,2.6111332716260636,0.4102808065088835,0.8898205161094666,0.8533452749252319,"[0.9762912392616272, 0.9250585436820984, 0.8351203799247742, 0.7378655672073364, 0.7923907041549683]",1,1746507349,,,False,7,0bf40239,2025-05-06_06-55-49,983.4929256439209,6926.538768291473,3602471,birget.uib.no,129.177.13.75,6926.538768291473,7,2.6870088111786616,0.3865827900985264,0.8909769058227539,0.855006217956543,"[0.9795519113540649, 0.9302480220794678, 0.8420869708061218, 0.7403532266616821, 0.7827908992767334]",100,128,/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_train.pt,/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_validation.pt,tensor([0.7242]),tensor([0.5008]),0.0006058440428069494,0.0037617476663643645,<class 'torch.optim.adamw.AdamW'>,<class 'models.ADTOF_FrameAttention'>,4,8,576,cuda:0,1746397704
7,2.553334535871233,0.4021855633426868,0.8938572406768799,0.8586875200271606,"[0.9784555435180664, 0.9329820275306702, 0.8298557996749878, 0.7512272000312805, 0.8009166717529297]",2,1746508334,checkpoint_000006,True,False,8,0bf40239,2025-05-06_07-12-17,988.0665156841278,7914.605283975601,3602471,birget.uib.no,129.177.13.75,7914.605283975601,8,2.553334535871233,0.4021855633426868,0.8938572406768799,0.8586875200271606,"[0.9784555435180664, 0.9329820275306702, 0.8298557996749878, 0.7512272000312805, 0.8009166717529297]",100,128,/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_train.pt,/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_validation.pt,tensor([0.7242]),tensor([0.5008]),0.0006058440428069494,0.0037617476663643645,<class 'torch.optim.adamw.AdamW'>,<class 'models.ADTOF_FrameAttention'>,4,8,576,cuda:0,1746397704
8,2.497303917294457,0.4061951294607003,0.8924290537834167,0.8543208837509155,"[0.9802173376083374, 0.9257605671882629, 0.8168823719024658, 0.755692720413208, 0.7930513024330139]",3,1746509321,,,False,9,0bf40239,2025-05-06_07-28-41,983.6873781681061,8898.292662143707,3602471,birget.uib.no,129.177.13.75,8898.292662143707,9,2.553334535871233,0.4021855633426868,0.8938572406768799,0.8586875200271606,"[0.9784555435180664, 0.9329820275306702, 0.8298557996749878, 0.7512272000312805, 0.8009166717529297]",100,128,/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_train.pt,/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_validation.pt,tensor([0.7242]),tensor([0.5008]),0.0006058440428069494,0.0037617476663643645,<class 'torch.optim.adamw.AdamW'>,<class 'models.ADTOF_FrameAttention'>,4,8,576,cuda:0,1746397704
9,2.449476768856957,0.39929291015154467,0.894135594367981,0.8590194582939148,"[0.9802295565605164, 0.9336414337158203, 0.8441698551177979, 0.7358428239822388, 0.8012138605117798]",4,1746510306,checkpoint_000007,True,False,10,0bf40239,2025-05-06_07-45-07,985.4103055000305,9883.702967643738,3602471,birget.uib.no,129.177.13.75,9883.702967643738,10,2.449476768856957,0.39929291015154467,0.894135594367981,0.8590194582939148,"[0.9802295565605164, 0.9336414337158203, 0.8441698551177979, 0.7358428239822388, 0.8012138605117798]",100,128,/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_train.pt,/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_validation.pt,tensor([0.7242]),tensor([0.5008]),0.0006058440428069494,0.0037617476663643645,<class 'torch.optim.adamw.AdamW'>,<class 'models.ADTOF_FrameAttention'>,4,8,576,cuda:0,1746397704
