,Training Loss,Validation Loss,Micro F1,Macro F1,Class F1,epochs_since_improvement,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,best_epoch/Training Loss,best_epoch/Validation Loss,best_epoch/Micro F1,best_epoch/Macro F1,best_epoch/Class F1,config/num_epochs,config/batch_size,config/train_paths,config/val_paths,config/transforms/mean,config/transforms/std,config/lr,config/weight_decay,config/optimizer,config/Model,config/parameters/num_convs,config/parameters/num_layers,config/parameters/hidden_size,config/device,config/seed
0,3.770948706262652,0.31982914159316145,0.7704675197601318,0.6343550682067871,"[0.8696719408035278, 0.7948831915855408, 0.33175575733184814, 0.786593496799469, 0.38887104392051697]",0,1748583089,checkpoint_000000,True,False,1,85fcf913,2025-05-30_07-31-29,102.55513405799866,102.55513405799866,1019323,birget.uib.no,129.177.13.75,102.55513405799866,1,3.770948706262652,0.31982914159316145,0.7704675197601318,0.6343550682067871,"[0.8696719408035278, 0.7948831915855408, 0.33175575733184814, 0.786593496799469, 0.38887104392051697]",100,128,['/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_train.pt'],['/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_validation.pt'],tensor([0.3865]),tensor([0.4332]),0.002752402525696759,0.0021811197799653536,<class 'torch.optim.adamw.AdamW'>,<class 'models.CNN'>,3,1,288,cuda:0,1748552726
1,3.2821675465337448,0.2778684127194281,0.7923169732093811,0.6568034887313843,"[0.8861811757087708, 0.8229324221611023, 0.3538356423377991, 0.8087164163589478, 0.412352055311203]",0,1748583165,checkpoint_000001,True,False,2,85fcf913,2025-05-30_07-32-45,75.89566135406494,178.4507954120636,1019323,birget.uib.no,129.177.13.75,178.4507954120636,2,3.2821675465337448,0.2778684127194281,0.7923169732093811,0.6568034887313843,"[0.8861811757087708, 0.8229324221611023, 0.3538356423377991, 0.8087164163589478, 0.412352055311203]",100,128,['/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_train.pt'],['/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_validation.pt'],tensor([0.3865]),tensor([0.4332]),0.002752402525696759,0.0021811197799653536,<class 'torch.optim.adamw.AdamW'>,<class 'models.CNN'>,3,1,288,cuda:0,1748552726
2,3.1268266229735313,0.2743550392280098,0.7982419729232788,0.6767808198928833,"[0.8838241100311279, 0.8160141706466675, 0.39180788397789, 0.822332501411438, 0.4699252247810364]",0,1748583241,checkpoint_000002,True,False,3,85fcf913,2025-05-30_07-34-01,76.25410985946655,254.70490527153015,1019323,birget.uib.no,129.177.13.75,254.70490527153015,3,3.1268266229735313,0.2743550392280098,0.7982419729232788,0.6767808198928833,"[0.8838241100311279, 0.8160141706466675, 0.39180788397789, 0.822332501411438, 0.4699252247810364]",100,128,['/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_train.pt'],['/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_validation.pt'],tensor([0.3865]),tensor([0.4332]),0.002752402525696759,0.0021811197799653536,<class 'torch.optim.adamw.AdamW'>,<class 'models.CNN'>,3,1,288,cuda:0,1748552726
3,3.028185815705361,0.2368314101268317,0.7948064208030701,0.6774400472640991,"[0.8871877789497375, 0.8191255331039429, 0.40028461813926697, 0.8164857625961304, 0.4641168713569641]",0,1748583317,,,False,4,85fcf913,2025-05-30_07-35-17,75.53391623497009,330.23882150650024,1019323,birget.uib.no,129.177.13.75,330.23882150650024,4,3.1268266229735313,0.2743550392280098,0.7982419729232788,0.6767808198928833,"[0.8838241100311279, 0.8160141706466675, 0.39180788397789, 0.822332501411438, 0.4699252247810364]",100,128,['/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_train.pt'],['/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_validation.pt'],tensor([0.3865]),tensor([0.4332]),0.002752402525696759,0.0021811197799653536,<class 'torch.optim.adamw.AdamW'>,<class 'models.CNN'>,3,1,288,cuda:0,1748552726
4,2.9530720748538637,0.25795874306718813,0.7988471984863281,0.6593329906463623,"[0.8978962302207947, 0.8436534404754639, 0.37781864404678345, 0.8108879923820496, 0.36640864610671997]",1,1748583391,checkpoint_000003,True,False,5,85fcf913,2025-05-30_07-36-31,74.65748715400696,404.8963086605072,1019323,birget.uib.no,129.177.13.75,404.8963086605072,5,2.9530720748538637,0.25795874306718813,0.7988471984863281,0.6593329906463623,"[0.8978962302207947, 0.8436534404754639, 0.37781864404678345, 0.8108879923820496, 0.36640864610671997]",100,128,['/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_train.pt'],['/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_validation.pt'],tensor([0.3865]),tensor([0.4332]),0.002752402525696759,0.0021811197799653536,<class 'torch.optim.adamw.AdamW'>,<class 'models.CNN'>,3,1,288,cuda:0,1748552726
5,2.897407824944014,0.2907735580251417,0.7994985580444336,0.6726523041725159,"[0.8941884636878967, 0.8348071575164795, 0.35734203457832336, 0.8169559836387634, 0.4599677622318268]",2,1748583466,checkpoint_000004,True,False,6,85fcf913,2025-05-30_07-37-46,74.34636306762695,479.24267172813416,1019323,birget.uib.no,129.177.13.75,479.24267172813416,6,2.897407824944014,0.2907735580251417,0.7994985580444336,0.6726523041725159,"[0.8941884636878967, 0.8348071575164795, 0.35734203457832336, 0.8169559836387634, 0.4599677622318268]",100,128,['/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_train.pt'],['/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_validation.pt'],tensor([0.3865]),tensor([0.4332]),0.002752402525696759,0.0021811197799653536,<class 'torch.optim.adamw.AdamW'>,<class 'models.CNN'>,3,1,288,cuda:0,1748552726
6,2.8506694493694273,0.26122904608722863,0.8090894818305969,0.7027766108512878,"[0.8959560394287109, 0.8498246669769287, 0.4547034502029419, 0.8151029348373413, 0.4982961118221283]",3,1748583540,checkpoint_000005,True,False,7,85fcf913,2025-05-30_07-39-00,74.3200843334198,553.562756061554,1019323,birget.uib.no,129.177.13.75,553.562756061554,7,2.8506694493694273,0.26122904608722863,0.8090894818305969,0.7027766108512878,"[0.8959560394287109, 0.8498246669769287, 0.4547034502029419, 0.8151029348373413, 0.4982961118221283]",100,128,['/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_train.pt'],['/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_validation.pt'],tensor([0.3865]),tensor([0.4332]),0.002752402525696759,0.0021811197799653536,<class 'torch.optim.adamw.AdamW'>,<class 'models.CNN'>,3,1,288,cuda:0,1748552726
7,2.814502049739312,0.257625243135991,0.8106817603111267,0.6878541707992554,"[0.9002950191497803, 0.8360123634338379, 0.3839363157749176, 0.8278310894966125, 0.4911961257457733]",4,1748583615,checkpoint_000006,True,False,8,85fcf913,2025-05-30_07-40-15,74.7868127822876,628.3495688438416,1019323,birget.uib.no,129.177.13.75,628.3495688438416,8,2.814502049739312,0.257625243135991,0.8106817603111267,0.6878541707992554,"[0.9002950191497803, 0.8360123634338379, 0.3839363157749176, 0.8278310894966125, 0.4911961257457733]",100,128,['/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_train.pt'],['/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_validation.pt'],tensor([0.3865]),tensor([0.4332]),0.002752402525696759,0.0021811197799653536,<class 'torch.optim.adamw.AdamW'>,<class 'models.CNN'>,3,1,288,cuda:0,1748552726
8,2.788208812239053,0.2420679578799328,0.8181966543197632,0.708910346031189,"[0.9012781381607056, 0.8460254669189453, 0.45765843987464905, 0.8313868641853333, 0.5082027316093445]",5,1748583689,checkpoint_000007,True,False,9,85fcf913,2025-05-30_07-41-29,74.27637004852295,702.6259388923645,1019323,birget.uib.no,129.177.13.75,702.6259388923645,9,2.788208812239053,0.2420679578799328,0.8181966543197632,0.708910346031189,"[0.9012781381607056, 0.8460254669189453, 0.45765843987464905, 0.8313868641853333, 0.5082027316093445]",100,128,['/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_train.pt'],['/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_validation.pt'],tensor([0.3865]),tensor([0.4332]),0.002752402525696759,0.0021811197799653536,<class 'torch.optim.adamw.AdamW'>,<class 'models.CNN'>,3,1,288,cuda:0,1748552726
9,2.758902759257285,0.234148278434313,0.7829142808914185,0.6824649572372437,"[0.8988602757453918, 0.8442090153694153, 0.41614845395088196, 0.7895768284797668, 0.46353036165237427]",0,1748583764,,,False,10,85fcf913,2025-05-30_07-42-44,74.80822992324829,777.4341688156128,1019323,birget.uib.no,129.177.13.75,777.4341688156128,10,2.788208812239053,0.2420679578799328,0.8181966543197632,0.708910346031189,"[0.9012781381607056, 0.8460254669189453, 0.45765843987464905, 0.8313868641853333, 0.5082027316093445]",100,128,['/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_train.pt'],['/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_validation.pt'],tensor([0.3865]),tensor([0.4332]),0.002752402525696759,0.0021811197799653536,<class 'torch.optim.adamw.AdamW'>,<class 'models.CNN'>,3,1,288,cuda:0,1748552726
10,2.7359938115212126,0.2833442289865654,0.7976278066635132,0.6818896532058716,"[0.8995386958122253, 0.8342643976211548, 0.4460543990135193, 0.7998965382575989, 0.4296942353248596]",1,1748583839,,,False,11,85fcf913,2025-05-30_07-43-59,74.51436829566956,851.9485371112823,1019323,birget.uib.no,129.177.13.75,851.9485371112823,11,2.788208812239053,0.2420679578799328,0.8181966543197632,0.708910346031189,"[0.9012781381607056, 0.8460254669189453, 0.45765843987464905, 0.8313868641853333, 0.5082027316093445]",100,128,['/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_train.pt'],['/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_validation.pt'],tensor([0.3865]),tensor([0.4332]),0.002752402525696759,0.0021811197799653536,<class 'torch.optim.adamw.AdamW'>,<class 'models.CNN'>,3,1,288,cuda:0,1748552726
11,2.7166711235575365,0.23419769062795712,0.8200170993804932,0.7049588561058044,"[0.9032905101776123, 0.85135418176651, 0.42550140619277954, 0.8333298563957214, 0.5113185048103333]",2,1748583913,checkpoint_000008,True,False,12,85fcf913,2025-05-30_07-45-13,74.1781497001648,926.1266868114471,1019323,birget.uib.no,129.177.13.75,926.1266868114471,12,2.7166711235575365,0.23419769062795712,0.8200170993804932,0.7049588561058044,"[0.9032905101776123, 0.85135418176651, 0.42550140619277954, 0.8333298563957214, 0.5113185048103333]",100,128,['/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_train.pt'],['/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_validation.pt'],tensor([0.3865]),tensor([0.4332]),0.002752402525696759,0.0021811197799653536,<class 'torch.optim.adamw.AdamW'>,<class 'models.CNN'>,3,1,288,cuda:0,1748552726
